,,Fantasy,Thriller,Horror,History,Family,Mystery,Western,Music,War,Action,Science Fiction,Crime,Romance,Animation,Documentary,Adventure,Foreign,Drama,Comedy,TV Movie
0,Sardaarji,Pirates of the Caribbean: The Curse of the Black Pearl,The Dark Knight,The Shining,Schindler's List,Minions,Inception,Django Unchained,Straight Outta Compton,Schindler's List,Guardians of the Galaxy,Interstellar,The Shawshank Redemption,Forrest Gump,Minions,Inside Job,Interstellar,Karakter,Interstellar,Minions,A Charlie Brown Christmas
1,The Big Swap,The Lord of the Rings: The Return of the King,Mad Max: Fury Road,Alien,The Imitation Game,Big Hero 6,Gone Girl,"Il buono, il brutto, il cattivo",Amadeus,The Imitation Game,Deadpool,Guardians of the Galaxy,The Dark Knight,Her,Big Hero 6,Bowling for Columbine,Minions,Water,The Shawshank Redemption,Deadpool,High School Musical
2,Rise of the Entrepreneur: The Search for a Better Way,The Lord of the Rings: The Fellowship of the Ring,Inception,Psycho,Saving Private Ryan,Inside Out,Se7en,The Hateful Eight,Moulin Rouge!,Inglourious Basterds,The Dark Knight,Mad Max: Fury Road,The Godfather,Eternal Sunshine of the Spotless Mind,Inside Out,Man on Wire,Guardians of the Galaxy,A Room for Romeo Brass,The Dark Knight,Forrest Gump,"Signed, Sealed, Delivered"
3,The Looking Glass,The Green Mile,Pulp Fiction,Aliens,12 Years a Slave,The Lion King,Memento,The Revenant,Pitch Perfect,Saving Private Ryan,Mad Max: Fury Road,Inception,Pulp Fiction,Titanic,The Lion King,One Direction: This Is Us,Deadpool,Namastey London,Fight Club,Big Hero 6,Love's Abiding Joy
4,Iguana,The Lord of the Rings: The Two Towers,The Imitation Game,The Thing,Dallas Buyers Club,Back to the Future,The Prestige,C'era una volta il West,The Blues Brothers,Fury,Inception,Star Wars,The Godfather: Part II,Le fabuleux destin d'Amélie Poulain,Up,Samsara,Mad Max: Fury Road,Jerusalema,Whiplash,Inside Out,We Have Your Husband
5,Reality Show,Harry Potter and the Prisoner of Azkaban,Gone Girl,Jaws,Braveheart,Up,Shutter Island,Unforgiven,Corpse Bride,El laberinto del fauno,Pirates of the Caribbean: The Curse of the Black Pearl,The Empire Strikes Back,The Green Mile,The Theory of Everything,WALL·E,"Food, Inc.",Inception,Paa,The Godfather,The Wolf of Wall Street,Restless
6,Mutual Friends,X-Men: Days of Future Past,Se7en,Shaun of the Dead,Spotlight,WALL·E,2001: A Space Odyssey,Dances with Wolves,Singin' in the Rain,Apocalypse Now,The Lord of the Rings: The Return of the King,The Matrix,Se7en,The Fault in Our Stars,Frozen,Sicko,Pirates of the Caribbean: The Curse of the Black Pearl,Love and Death on Long Island,Forrest Gump,Back to the Future,How to Fall in Love
7,Lisa Picard Is Famous,Harry Potter and the Philosopher's Stone,Jurassic World,The Conjuring,The King's Speech,Harry Potter and the Prisoner of Azkaban,The Sixth Sense,True Grit,Les Misérables,Braveheart,Big Hero 6,The Martian,The Wolf of Wall Street,A Beautiful Mind,Toy Story,Jagal,The Lord of the Rings: The Return of the King,Gli intoccabili,Schindler's List,The Grand Budapest Hotel,Sharknado
8,Shanghai Calling,V for Vendetta,Dawn of the Planet of the Apes,The Exorcist,The Untouchables,Harry Potter and the Philosopher's Stone,The Hateful Eight,Per un pugno di dollari,Begin Again,The Pianist,The Lord of the Rings: The Fellowship of the Ring,Jurassic World,GoodFellas,The Notebook,Finding Nemo,La Marche de l'empereur,Big Hero 6,Partition,The Imitation Game,Up,
9,Sharkskin,Harry Potter and the Chamber of Secrets,The Shining,Zombieland,Amadeus,Frozen,Donnie Darko,Spirit: Stallion of the Cimarron,The Sound of Music,American Sniper,Star Wars,Back to the Future,The Usual Suspects,The Perks of Being a Wallflower,"Monsters, Inc.",Fahrenheit 9/11,The Lord of the Rings: The Fellowship of the Ring,La niña santa,Inside Out,Toy Story,
